Id,OverallQual,YearBuilt,TotalBsmtSF,Electrical,GrLivArea,FullBath,GarageType,GarageCars,GarageArea,Fence,MiscFeature,SalePrice
1,7,2003,856,SBrkr,1710,2,Attchd,2,548,NA,NA,208500
2,6,1976,1262,SBrkr,1262,2,Attchd,2,460,NA,NA,181500
3,7,2001,920,SBrkr,1786,2,Attchd,2,608,NA,NA,223500
4,7,1915,756,SBrkr,1717,1,Detchd,3,642,NA,NA,140000
5,8,2000,1145,SBrkr,2198,2,Attchd,3,836,NA,NA,250000
6,5,1993,796,SBrkr,1362,1,Attchd,2,480,MnPrv,Shed,143000
7,8,2004,1686,SBrkr,1694,2,Attchd,2,636,NA,NA,307000
8,7,1973,1107,SBrkr,2090,2,Attchd,2,484,NA,Shed,200000
9,5,1939,991,SBrkr,1077,1,NA,1,205,NA,NA,118000
10,5,1965,1040,SBrkr,1040,1,Detchd,1,384,NA,NA,129500
11,9,2005,1175,SBrkr,2324,3,BuiltIn,3,736,NA,NA,345000
12,5,1962,912,SBrkr,912,1,Detchd,1,352,NA,NA,144000
13,7,2006,1494,SBrkr,1494,2,Attchd,3,840,NA,NA,279500
14,6,1960,1253,SBrkr,1253,1,Attchd,1,352,GdWo,NA,157000
15,7,1929,832,FuseA,854,1,Detchd,2,576,GdPrv,NA,132000
16,6,1970,1004,SBrkr,1004,1,Attchd,2,480,NA,Shed,149000
17,4,1967,0,SBrkr,1296,2,CarPort,2,516,NA,Shed,90000
18,5,1958,1029,SBrkr,1339,1,Attchd,1,294,MnPrv,NA,139000
19,8,2005,1158,SBrkr,2376,3,BuiltIn,3,853,NA,NA,325300
20,7,1930,637,FuseF,1108,1,Attchd,1,280,GdPrv,NA,139400
21,8,2002,1777,SBrkr,1795,2,Attchd,2,534,NA,NA,230000
22,5,1976,1040,SBrkr,1060,1,Attchd,2,572,NA,NA,129900
23,5,1968,1060,SBrkr,1060,1,NA,1,270,MnPrv,NA,154000
24,8,2007,1566,SBrkr,1600,2,Attchd,3,890,NA,NA,256300
25,5,1951,900,SBrkr,900,1,Detchd,2,576,NA,NA,134800
26,8,2007,1704,SBrkr,1704,2,Attchd,3,772,NA,NA,306000
27,5,1957,1484,SBrkr,1600,1,NA,1,319,NA,NA,207500
28,4,1927,520,SBrkr,520,1,Detchd,1,240,NA,NA,68500
29,4,1920,649,SBrkr,1317,1,Detchd,1,250,MnPrv,NA,40000
30,5,1966,1228,SBrkr,1228,1,Attchd,1,271,MnPrv,NA,149350
31,8,2007,1234,SBrkr,1234,2,Attchd,2,484,NA,NA,179900
32,5,1959,1398,SBrkr,1700,1,Attchd,2,447,NA,NA,165500
33,9,2005,1561,SBrkr,1561,2,Attchd,2,556,NA,NA,277500
34,8,2004,1117,SBrkr,2452,3,BuiltIn,3,691,NA,NA,309000
35,5,1994,1097,SBrkr,1097,1,Attchd,2,672,NA,NA,145000
36,5,1954,1297,SBrkr,1297,1,Attchd,2,498,NA,NA,153000
37,5,1953,1057,SBrkr,1057,1,Detchd,1,246,NA,NA,109000
38,4,1955,0,FuseP,1152,2,NA,0,0,NA,NA,82000
39,6,1965,1088,SBrkr,1324,2,Attchd,2,440,GdWo,NA,160000
40,5,1959,1350,SBrkr,1328,1,NA,1,308,NA,NA,170000
41,5,1983,840,SBrkr,884,1,Attchd,2,504,MnPrv,NA,144000
42,5,1975,938,SBrkr,938,1,Detchd,1,308,MnPrv,NA,130250
43,5,1959,1150,FuseA,1150,1,Attchd,1,300,NA,NA,141000
44,9,2005,1752,SBrkr,1752,2,Attchd,2,576,NA,NA,319900
45,7,2003,1434,SBrkr,2149,1,Attchd,2,670,NA,NA,239686
46,8,2006,1656,SBrkr,1656,2,Attchd,3,826,NA,NA,249700
47,4,1920,736,SBrkr,1452,2,NA,0,0,NA,NA,113000
48,5,1966,955,SBrkr,955,1,NA,1,386,MnPrv,NA,127000
49,6,1997,794,SBrkr,1470,2,Attchd,2,388,NA,NA,177000
50,5,1963,816,SBrkr,816,1,CarPort,2,516,NA,NA,110000
51,9,1981,1842,SBrkr,1842,0,Attchd,3,894,NA,NA,385000
52,5,1955,384,SBrkr,1360,1,Detchd,2,572,MnPrv,NA,130000
53,6,1964,1425,SBrkr,1425,2,Attchd,2,576,NA,NA,180500
54,8,1999,970,SBrkr,1739,2,Attchd,2,480,NA,NA,172500
55,7,2004,860,SBrkr,1720,2,Attchd,2,565,NA,NA,196500
56,10,2006,1410,SBrkr,2945,3,BuiltIn,3,641,NA,NA,438780
57,5,1972,780,SBrkr,780,1,Detchd,1,352,MnPrv,NA,124900
58,8,2006,1370,SBrkr,1370,2,Attchd,2,484,NA,NA,202500
59,7,1921,576,SBrkr,1710,2,Detchd,2,480,GdPrv,NA,140000
60,7,1997,1057,SBrkr,2034,2,Attchd,2,645,GdPrv,NA,219500
61,8,2004,1143,SBrkr,2473,2,BuiltIn,3,852,NA,NA,317000
62,7,1970,1947,SBrkr,2207,2,Attchd,2,576,NA,NA,180000
63,7,2003,1453,SBrkr,1479,2,Attchd,2,558,NA,NA,226000
64,4,1945,747,SBrkr,747,1,NA,1,220,NA,NA,80000
65,7,1953,1304,SBrkr,2287,2,Attchd,2,667,NA,NA,225000
66,7,1973,2223,SBrkr,2223,2,Attchd,2,516,NA,NA,244000
67,4,1982,845,SBrkr,845,1,Detchd,2,360,NA,NA,129500
68,7,1998,832,SBrkr,1718,2,Attchd,2,427,NA,NA,185000
69,5,1954,1086,SBrkr,1086,1,Attchd,2,490,GdWo,NA,144900
70,3,1915,840,SBrkr,1605,2,Detchd,1,379,NA,NA,107400
71,4,1973,462,SBrkr,988,1,BuiltIn,1,297,GdWo,NA,91000
72,4,1956,952,FuseA,952,1,Detchd,1,283,NA,NA,135750
73,5,1948,672,SBrkr,1285,1,Detchd,1,240,MnPrv,NA,127000
74,4,1968,1768,SBrkr,1768,2,NA,0,0,NA,NA,136500
75,6,1968,896,SBrkr,2142,2,Attchd,1,509,NA,NA,193500
76,8,2007,1563,SBrkr,1563,2,Attchd,3,758,NA,NA,245000
77,7,1995,384,SBrkr,1474,2,BuiltIn,2,400,NA,Shed,168500
78,8,1991,1288,SBrkr,2417,2,Attchd,2,462,NA,NA,260000
79,6,2009,612,SBrkr,1224,2,Detchd,2,528,NA,NA,164500
80,3,1915,1013,SBrkr,1526,1,NA,0,0,MnPrv,NA,85000
81,4,1994,990,SBrkr,990,1,NA,0,0,NA,NA,123600
82,4,1950,0,FuseA,1040,1,Detchd,2,420,NA,NA,109900
83,5,1961,1235,SBrkr,1235,1,Attchd,2,480,GdWo,NA,98600
84,5,1921,876,SBrkr,964,1,Detchd,2,432,NA,NA,163500
85,6,1997,824,SBrkr,1786,2,Attchd,2,684,NA,NA,204750
86,6,1993,680,SBrkr,1470,2,BuiltIn,2,420,NA,Shed,185000
87,7,1999,1588,SBrkr,1588,2,Attchd,2,472,NA,NA,214000
88,5,1920,458,SBrkr,835,1,Basment,1,366,NA,Shed,83000
89,4,1959,950,SBrkr,1225,1,NA,0,0,NA,Shed,128950
90,6,1977,1610,SBrkr,1610,2,Attchd,2,480,NA,NA,205000
91,6,1985,741,SBrkr,1732,2,Attchd,2,476,NA,NA,178000
92,5,1979,0,SBrkr,1535,2,Attchd,2,410,NA,NA,118964
93,7,2009,1226,SBrkr,1226,2,Attchd,3,740,NA,NA,198900
94,7,1931,1040,FuseF,1818,1,Detchd,1,240,NA,NA,169500
95,8,2003,1053,SBrkr,1992,2,Attchd,2,648,NA,NA,250000
96,4,1885,641,SBrkr,1047,1,Detchd,1,273,NA,Shed,100000
97,5,1948,789,SBrkr,789,1,Detchd,1,250,NA,NA,115000
98,5,1919,793,FuseF,1517,2,NA,0,0,NA,NA,115000
99,6,1977,1844,SBrkr,1844,2,Attchd,2,546,MnPrv,NA,190000
100,6,1954,994,SBrkr,1855,2,NA,1,325,NA,NA,136900
101,7,2000,384,SBrkr,1430,2,BuiltIn,2,400,NA,NA,180000
102,7,2007,1264,SBrkr,2696,2,BuiltIn,3,792,NA,NA,383970
103,6,1953,1809,SBrkr,2259,2,Basment,2,450,MnPrv,NA,217000
104,6,1945,1028,SBrkr,2320,2,Detchd,1,180,MnPrv,NA,259500
105,6,1999,729,SBrkr,1458,2,Detchd,2,440,NA,NA,176000
106,5,1962,1092,SBrkr,1092,1,Attchd,1,288,NA,NA,139000
107,5,2006,1125,SBrkr,1125,1,Attchd,2,430,NA,NA,155000
108,7,1990,1673,SBrkr,3222,3,Attchd,3,594,NA,NA,320000
109,6,2005,728,SBrkr,1456,2,Attchd,2,390,NA,NA,163990
110,6,1969,938,SBrkr,988,1,Attchd,2,540,NA,NA,180000
111,4,1939,732,SBrkr,1123,1,Detchd,1,264,MnPrv,NA,100000
112,6,1958,1080,SBrkr,1080,1,NA,1,288,NA,NA,136000
113,6,1993,1199,SBrkr,1199,2,Attchd,2,530,NA,NA,153900
114,6,1979,1362,SBrkr,1586,2,Attchd,2,435,NA,NA,181000
115,6,1935,520,SBrkr,754,1,NA,0,0,NA,NA,84500
116,6,1976,1078,SBrkr,958,2,Attchd,2,440,NA,NA,128000
117,5,1930,672,SBrkr,840,1,NA,0,0,NA,NA,87000
118,6,1966,660,SBrkr,1348,1,Attchd,2,453,NA,NA,155000
119,5,1958,1008,FuseA,1053,1,2Types,2,750,MnWw,NA,150000
120,7,1966,924,SBrkr,2157,2,Attchd,2,487,GdPrv,NA,226000
121,6,2000,992,SBrkr,2054,2,BuiltIn,2,390,NA,NA,244000
122,5,1959,1063,SBrkr,1327,1,Detchd,2,624,NA,NA,150750
123,8,2001,1267,SBrkr,1296,2,Attchd,2,471,NA,NA,220000
124,5,1968,1461,SBrkr,1721,2,Attchd,2,440,MnPrv,NA,180000
125,7,1970,1304,SBrkr,1682,2,Attchd,2,530,MnPrv,NA,174000
126,5,1967,1214,SBrkr,1214,2,NA,1,318,NA,NA,143000
127,7,1988,1907,SBrkr,1959,3,2Types,3,766,NA,NA,171000
128,8,1999,1004,SBrkr,1852,2,Attchd,3,660,GdPrv,NA,230000
129,6,1997,928,SBrkr,1764,2,Attchd,2,470,MnPrv,NA,231500
130,4,1971,864,SBrkr,864,1,NA,0,0,NA,NA,115000
131,7,2005,1734,SBrkr,1734,2,Attchd,2,660,NA,NA,260000
132,5,1952,910,SBrkr,1385,2,Detchd,2,720,MnPrv,NA,166000
133,7,1999,1490,SBrkr,1501,2,Attchd,2,577,NA,NA,204000
134,6,2004,970,SBrkr,1709,2,Detchd,2,380,NA,NA,130000
135,5,1931,715,FuseA,875,1,Detchd,1,180,NA,NA,105000
136,7,2001,884,SBrkr,2035,2,BuiltIn,2,434,NA,NA,222500
137,7,2004,1080,SBrkr,1080,1,NA,0,0,NA,NA,141000
138,5,1975,969,SBrkr,969,1,Attchd,2,440,MnPrv,NA,122000
139,8,2007,1710,SBrkr,1710,2,Attchd,3,866,NA,NA,372402
140,6,1971,825,SBrkr,1993,2,Attchd,2,495,GdWo,NA,190000
141,6,1960,1602,SBrkr,1252,1,Attchd,2,564,NA,NA,235000
142,6,1923,1200,FuseA,1200,1,Detchd,1,312,NA,NA,125000
143,6,1924,572,FuseF,1096,1,NA,0,0,NA,NA,79000
144,8,2009,774,SBrkr,1968,2,BuiltIn,3,680,NA,NA,269500
145,7,2004,991,SBrkr,1947,2,Attchd,2,678,GdWo,NA,254900
146,7,2005,1392,SBrkr,2462,2,Attchd,2,576,NA,NA,320000
147,6,1984,1232,SBrkr,1232,2,Attchd,2,516,NA,NA,162500
148,9,2003,1572,SBrkr,2668,2,BuiltIn,3,726,NA,NA,412500
149,4,1956,882,SBrkr,882,1,NA,0,0,MnPrv,NA,103200
150,6,1926,1149,FuseA,1616,2,Detchd,1,216,NA,NA,152000
151,5,1940,644,SBrkr,1355,2,NA,0,0,NA,NA,127500
152,5,1955,1617,FuseA,1867,1,Attchd,1,303,GdWo,NA,190000
153,8,2007,1582,SBrkr,2161,1,Attchd,3,789,NA,NA,325624
154,7,2004,840,SBrkr,1720,2,Attchd,2,440,NA,NA,183500
155,8,1981,1686,SBrkr,1707,2,Attchd,2,511,NA,NA,228000
156,5,1941,720,SBrkr,1382,1,Detchd,2,660,NA,NA,128500
157,6,1960,1080,SBrkr,1656,1,Attchd,2,528,NA,NA,215000
158,7,1987,1064,SBrkr,1767,2,Attchd,2,504,NA,NA,239000
159,6,1961,1362,SBrkr,1362,1,Attchd,2,504,NA,NA,163000
160,6,1986,1606,SBrkr,1651,2,Attchd,2,616,NA,NA,184000
161,6,1950,1202,SBrkr,2158,2,Attchd,2,576,MnPrv,NA,243000
162,6,1988,1151,SBrkr,2060,2,Attchd,2,521,NA,NA,211000
163,5,1958,1052,SBrkr,1920,2,Attchd,2,451,NA,NA,172500
164,9,2008,2216,SBrkr,2234,2,Attchd,3,1166,NA,NA,501837
165,6,2000,756,SBrkr,1525,2,Detchd,2,440,NA,NA,177000
166,7,1920,793,SBrkr,1802,1,Detchd,1,216,NA,NA,200100
167,5,1957,0,SBrkr,1340,1,NA,1,252,MnPrv,NA,120000
168,7,2003,1362,SBrkr,2082,2,Detchd,2,484,NA,NA,200000
169,5,1908,504,SBrkr,1252,1,Attchd,2,576,MnPrv,NA,127000
170,10,1892,1107,SBrkr,3608,2,Detchd,3,840,GdPrv,NA,475000
171,5,1916,660,SBrkr,1656,2,Detchd,1,180,MnPrv,NA,135000
172,5,1979,1086,SBrkr,1224,0,Detchd,2,528,NA,NA,153337
173,8,2001,1593,SBrkr,1593,1,Attchd,2,682,NA,NA,286000
174,8,1932,853,SBrkr,2727,2,Detchd,2,440,NA,NA,315000
175,7,1972,725,SBrkr,1479,1,Attchd,2,484,NA,NA,184000
176,7,1999,1431,SBrkr,1431,2,Attchd,2,666,NA,NA,192000
177,5,1972,864,SBrkr,864,1,Detchd,1,352,NA,NA,127000
178,6,1976,855,SBrkr,1456,2,Attchd,2,440,NA,NA,148500
179,7,2007,1726,SBrkr,1726,2,Attchd,3,786,NA,NA,311872
180,8,1918,1360,SBrkr,3112,2,Detchd,2,795,GdPrv,NA,235000
181,6,1912,755,SBrkr,2229,1,NA,0,0,MnPrv,NA,104000
182,8,2004,1713,SBrkr,1713,2,Attchd,3,856,NA,NA,274900
183,4,2003,1121,SBrkr,1121,2,Attchd,2,440,NA,NA,140000
184,6,1924,617,SBrkr,1310,2,NA,1,398,NA,NA,112000
185,6,2004,848,SBrkr,848,1,Attchd,2,420,NA,NA,149000
186,5,1947,720,SBrkr,1284,1,Detchd,1,240,MnWw,NA,110000
187,7,1990,1424,SBrkr,1442,2,Attchd,2,500,NA,NA,180500
188,5,1962,1140,SBrkr,1696,1,Attchd,1,349,NA,NA,143900
189,4,1960,1100,SBrkr,1100,1,Attchd,1,312,GdWo,NA,141000
190,7,1988,1157,SBrkr,2062,2,Attchd,2,454,NA,NA,277000
191,6,1964,1092,SBrkr,1092,1,Attchd,2,504,MnPrv,NA,145000
192,5,1925,864,FuseA,864,1,NA,0,0,NA,NA,98000
193,6,2009,1212,SBrkr,1212,2,Attchd,2,460,NA,NA,186000
194,7,2009,900,SBrkr,1852,2,Attchd,2,644,NA,NA,252678
195,5,1995,990,SBrkr,990,1,Attchd,2,576,NA,NA,156000
196,6,1977,689,SBrkr,1392,1,NA,1,299,MnPrv,Shed,161750
197,5,1957,1070,SBrkr,1236,1,NA,1,447,MnPrv,NA,134450
198,7,2004,1436,SBrkr,1436,2,Attchd,2,484,NA,NA,210000
199,4,1925,686,SBrkr,1328,1,Detchd,1,210,NA,NA,107000
200,7,1939,798,SBrkr,1954,1,Attchd,2,431,NA,NA,311500
201,7,2005,1248,SBrkr,1248,2,Attchd,2,438,NA,NA,167240
202,7,2006,1498,SBrkr,1498,2,Attchd,2,675,NA,NA,204900
203,6,2002,1010,SBrkr,2267,2,BuiltIn,2,390,NA,NA,200000
204,6,1975,713,SBrkr,1552,2,Attchd,2,434,MnPrv,NA,179900
205,4,1971,864,SBrkr,864,1,Detchd,2,576,NA,NA,97000
206,10,2003,2392,SBrkr,2392,2,Attchd,3,968,NA,NA,386250
207,5,1971,630,SBrkr,1302,2,Detchd,1,280,NA,NA,112000
208,7,1995,1203,SBrkr,2520,2,Attchd,3,721,NA,NA,290000
209,6,1970,483,SBrkr,987,1,Detchd,1,280,NA,NA,106000
210,5,1967,912,SBrkr,912,1,Detchd,1,336,MnPrv,NA,125000
211,7,2005,1373,SBrkr,1555,2,Attchd,2,430,NA,NA,192500
212,6,1959,1194,SBrkr,1194,1,Attchd,1,312,NA,NA,148000
213,8,1995,1462,SBrkr,2794,2,Attchd,3,810,NA,NA,403000
214,6,1972,483,SBrkr,987,1,NA,1,288,NA,NA,94500
215,5,1976,894,SBrkr,894,1,Attchd,1,308,MnPrv,NA,128200
216,6,2002,860,SBrkr,1960,2,BuiltIn,2,440,NA,NA,216500
217,6,1971,483,SBrkr,987,1,Detchd,1,264,NA,NA,89500
218,7,2004,1414,SBrkr,1414,2,Attchd,2,494,NA,NA,185500
219,7,1993,996,SBrkr,1744,2,Attchd,2,457,NA,NA,194500
220,8,2007,1694,SBrkr,1694,2,Attchd,3,818,NA,NA,318000
221,6,1945,735,FuseA,1487,1,Detchd,1,220,MnPrv,NA,113000
222,8,2008,1566,SBrkr,1566,2,Attchd,2,750,NA,NA,262500
223,5,1945,686,SBrkr,866,1,NA,0,0,NA,NA,110500
224,5,1900,540,FuseA,1440,1,Attchd,1,352,NA,NA,79000
225,6,1980,626,SBrkr,1217,1,NA,1,288,NA,NA,120000
226,7,1994,948,SBrkr,2110,2,Attchd,2,463,NA,NA,205000
227,7,1988,1845,SBrkr,1872,2,Attchd,2,604,NA,NA,241500
228,6,1910,1020,FuseP,1928,2,Detchd,1,440,NA,NA,137000
229,6,1954,1367,SBrkr,1375,1,Attchd,2,451,NA,NA,140000
230,7,2003,840,SBrkr,1668,2,Attchd,2,500,NA,NA,180000
231,6,1958,1444,SBrkr,2144,2,Attchd,2,389,NA,Shed,277000
232,3,1940,728,SBrkr,1306,1,NA,0,0,GdWo,Shed,76500
233,8,2006,1573,SBrkr,1625,2,Attchd,2,538,NA,NA,235000
234,6,2004,798,SBrkr,1640,2,Attchd,2,520,NA,NA,173000
235,6,1964,1302,SBrkr,1302,2,Attchd,1,309,MnPrv,NA,158000
236,5,1957,1314,SBrkr,1314,1,NA,1,294,NA,NA,145000
237,7,1999,975,SBrkr,2291,2,BuiltIn,2,429,NA,NA,230000
238,6,2003,864,SBrkr,1728,2,Attchd,2,673,NA,NA,207500
239,7,2006,1604,SBrkr,1604,2,Attchd,2,660,NA,NA,220000
240,7,2001,963,SBrkr,1792,2,Attchd,2,564,NA,NA,231500
241,5,1956,0,FuseA,882,1,Detchd,1,308,NA,NA,97000
242,6,1962,1362,SBrkr,1382,1,Attchd,2,884,GdWo,NA,176000
243,8,2007,1482,SBrkr,2574,2,BuiltIn,3,868,NA,NA,276000
244,6,1977,506,SBrkr,1212,1,Attchd,2,492,GdWo,NA,151000
245,5,1929,926,SBrkr,1316,1,Detchd,2,484,NA,NA,130000
246,5,1925,680,FuseP,764,1,Detchd,2,504,NA,NA,73000
247,6,1981,1422,SBrkr,1422,2,Attchd,2,576,GdPrv,NA,175500
248,6,1997,802,SBrkr,1511,2,Attchd,2,413,NA,NA,185000
249,5,1939,720,SBrkr,2192,2,Detchd,1,240,NA,NA,179500
250,5,1940,740,SBrkr,778,1,Detchd,1,924,NA,NA,120500
251,6,1976,1143,SBrkr,1113,1,NA,1,504,GdPrv,NA,148000
252,8,2006,1095,SBrkr,1939,2,Attchd,3,1053,NA,NA,266000
253,7,1954,1385,SBrkr,1363,1,Attchd,2,439,NA,NA,241500
254,8,1999,1152,SBrkr,2270,2,Attchd,3,671,NA,NA,290000
255,6,1958,1240,SBrkr,1632,2,Attchd,1,338,MnPrv,NA,139000
256,5,1982,816,SBrkr,816,1,NA,1,264,NA,NA,124500
257,7,1925,952,SBrkr,1548,2,Detchd,2,672,NA,NA,205000
258,7,2003,1560,SBrkr,1560,2,Attchd,2,573,NA,NA,201000
259,4,1951,864,SBrkr,864,1,Detchd,2,400,NA,NA,141000
260,9,2006,2121,SBrkr,2121,2,Attchd,3,732,NA,NA,415298
261,7,1977,1160,SBrkr,2022,2,Attchd,2,505,NA,NA,192000
262,7,1989,807,SBrkr,1982,2,Attchd,2,575,NA,NA,228500
263,6,2006,1262,SBrkr,1262,2,Attchd,2,572,NA,NA,185000
264,7,2007,1314,SBrkr,1314,2,Attchd,2,626,NA,NA,207500
265,8,2008,1468,SBrkr,1468,2,Attchd,3,898,NA,NA,244600
266,6,1992,1575,SBrkr,1575,2,Attchd,2,529,NA,NA,179200
267,7,2006,625,SBrkr,1250,2,Detchd,2,528,NA,NA,164700
268,6,1962,912,SBrkr,1734,1,Attchd,2,440,GdPrv,NA,159000
269,4,1971,858,SBrkr,858,1,NA,0,0,NA,NA,88000
270,5,1967,882,SBrkr,900,1,Detchd,1,280,MnPrv,NA,122000
271,6,1915,698,FuseA,1396,1,Detchd,1,384,NA,NA,153575
272,8,2006,1079,SBrkr,1919,2,Attchd,2,685,NA,NA,233230
273,5,1912,780,SBrkr,1716,2,NA,0,0,NA,NA,135900
274,5,1949,768,SBrkr,1716,1,NA,1,281,NA,NA,131000
275,7,1977,795,SBrkr,2263,2,Attchd,2,539,NA,NA,235000
276,6,1953,1416,SBrkr,1644,1,Attchd,2,418,NA,NA,167000
277,6,1984,1003,SBrkr,1003,1,Detchd,2,588,GdPrv,NA,142500
278,5,1950,910,FuseA,1558,1,Attchd,1,282,MnPrv,NA,152000
279,7,1997,975,SBrkr,1950,2,Detchd,2,576,NA,NA,239000
280,6,1968,702,SBrkr,1743,1,Attchd,2,539,NA,NA,175000
281,6,1950,1092,SBrkr,1152,1,NA,1,300,GdPrv,NA,158500
282,5,1953,1165,SBrkr,1336,1,Attchd,1,375,NA,NA,157000
283,8,1998,1028,SBrkr,2452,2,BuiltIn,2,683,NA,NA,267000
284,7,2001,1541,SBrkr,1541,2,Attchd,3,843,NA,NA,205000
